name,taxid,ERR14789353,ERR14789354,ERR14789355,ERR14789356,ERR14789357,ERR14789358,ERR14789359,ERR14789360,ERR14789361,ERR14789362,ERR14789363,ERR14789364,ERR14789365,ERR14789366,ERR14789367
              Lillamyvirus,2843418,,0.32,,,0.51,,,,,,,0.25,,0.1,0.35
              Muminvirus,2843426,,,,,,,,0.39,,0.67,0.48,,,,0.96
              Nevevirus,2843430,,,,,,,,,,0.18,0.1,,,,
              Parlovirus,2843433,,,0.21,,,,,,,,,,,,
              Plateaulakevirus,2843436,0.09,0.26,0.23,0.42,0.19,0.12,0.14,0.29,,0.94,0.3,0.32,0.22,0.09,0.3
              Sleepyheadvirus,2843457,,,,,,0.1,,,,,,,,,
                Yonseivirus,2843478,0.49,0.16,0.23,0.27,,0.09,0.16,0.08,,,0.1,,0.28,0.15,0.24
                  Kahnovirus,2942979,0.04,0.25,0.37,0.44,0.21,0.15,0.19,0.06,,0.34,0.45,0.25,0.34,0.15,0.58
                  Kehishuvirus,2942980,0.05,0.2,0.89,0.27,0.19,0.14,0.2,0.12,0.42,0.3,0.17,,0.87,,1.02
                  Paundivirus,2942981,,,,,,,,,,,,,,,0.57
                  Afonbuvirus,2942989,0.33,1.44,1.47,2.49,1.34,1.04,0.86,0.57,3.12,2.82,2.93,1.53,2.1,0.58,1.78
                  Canhaevirus,2942990,0.06,0.3,0.56,0.5,0.27,0.16,0.18,0.14,0.73,0.73,0.49,0.37,0.44,0.21,0.32
                  Cohcovirus,2942991,0.11,0.4,0.57,0.63,0.55,0.29,0.31,0.16,0.96,1.2,0.99,0.56,0.89,0.21,0.53
                  Culoivirus,2942992,0.05,0.18,0.28,0.27,0.19,0.12,0.08,0.06,,0.3,0.34,0.18,0.26,,0.31
                  Blohavirus,2942993,0.12,1.07,1.14,1.69,0.68,0.65,0.64,0.5,2.32,1.83,2.3,1.14,1.91,0.46,1.3
                  Buchavirus,2942994,0.19,0.41,0.62,1.16,0.35,0.27,0.25,0.25,0.73,0.72,0.63,0.32,0.8,0.2,0.52
                Gediminasvirus,2943007,,,,,,,,,,,0.09,,,,
                Gwanakrovirus,2943008,0.14,,,,,,,,,,,,,,0.2
                Phobosvirus,2943014,,,,,,,,,,,0.16,,,,
                Salvovirus,2943016,0.1,0.21,0.37,0.22,0.22,0.14,0.19,0.1,0.73,0.19,0.36,0.2,0.34,0.17,0.42
                Sharonstreetvirus,2943019,0.41,0.51,0.83,1.09,0.55,0.17,0.41,0.25,1.81,1.09,1.24,0.79,0.86,0.19,1.12
              Anayavirus,2946797,,,,,,,,,,,0.09,,,0.1,
                Aptresvirus,2946806,,,,,0.42,0.18,,,,,,,,,
                Arsyunavirus,2946810,,,,,0.41,0.15,,,,,,,,,
                  Aurodevirus,2946811,0.3,0.91,1.2,2.08,0.94,0.54,0.53,0.53,2.4,2.2,1.95,0.88,1.29,0.34,1.24
                  Birpovirus,2946830,0.1,0.46,0.46,0.7,0.42,0.27,0.25,0.25,0.72,0.65,0.98,0.55,0.71,0.2,0.54
                  Bohxovirus,2946832,,,,,,,,,,,,,,,0.15
                  Buorbuivirus,2948644,0.09,0.22,0.24,0.5,0.28,0.17,0.11,0.09,0.49,0.54,0.4,0.23,0.24,0.1,0.26
                  Burzaovirus,2948645,2.1,2.08,3.39,4.6,1.06,0.9,1.66,0.5,5.43,3.9,6.91,1.74,6.26,1.49,2.78
                  Cacepaovirus,2948646,,,,,,,,,,,0.09,,,,0.15
                  Carjivirus,2948652,1.26,4.35,3.35,6.2,2.7,1.92,2.96,1.34,8.71,6.01,14.53,3.84,6.0,1.53,5.69
                  Chuhaivirus,2948663,,,,,,,,,,,0.17,,,,0.11
                  Dabirmavirus,2948671,,0.06,,,,,0.1,,,0.21,0.28,,,,0.22
                  Diorhovirus,2948680,,0.06,,,,,,,,0.31,0.22,,0.19,,
                  Drivevirus,2948684,,0.08,,,,0.07,,,,0.13,0.1,,,,
                  Delmidovirus,2948688,0.05,0.14,0.31,0.4,0.24,0.12,0.13,,,0.34,0.5,,,0.1,0.16
                Efbeekayvirus,2948690,,0.09,0.48,0.47,0.18,,,0.07,,0.3,0.39,,0.34,,0.12
                  Endlipuvirus,2948697,0.04,0.24,,0.27,0.19,0.14,0.2,0.13,0.39,0.4,0.78,,0.38,0.1,0.3
                Exceevirus,2948704,0.04,0.12,0.39,0.51,,0.05,0.07,0.06,,0.23,0.34,0.23,0.53,,0.15
                  Fohxhuevirus,2948709,0.06,0.18,,0.22,0.18,0.1,0.25,0.06,,0.24,0.6,,0.36,,0.31
                  Jahgtovirus,2948767,0.31,0.84,1.18,2.04,0.59,0.55,0.63,0.36,2.77,1.84,2.29,0.95,1.94,0.42,1.04
                  Junduvirus,2948774,0.04,0.21,,,,0.05,0.08,,,0.16,0.51,,,,0.14
                  Kingevirus,2948785,0.22,1.69,1.3,2.47,0.78,0.59,0.88,0.58,2.39,2.01,3.55,1.29,0.88,0.31,1.35
                  Kolpuevirus,2948787,,0.09,,,,0.06,,0.08,,0.17,0.16,,0.31,,0.33
              Kunmingvirus,2948791,0.2,0.93,1.91,1.47,0.51,0.34,0.85,0.65,2.0,1.46,1.58,1.09,1.54,0.35,0.71
                  Lebriduvirus,2948797,,0.08,,,0.15,0.14,0.14,,,,0.08,,,,0.11
                  Mahlunavirus,2948812,,0.08,,,,0.05,0.1,,,0.18,0.18,,,,0.13
              Myrnavirus,2948833,,,,,,,,,,0.21,,,0.22,,
                Oliverunavirus,2948846,,,,,,,,,,0.18,0.14,,,,
                  Pamirivirus,2948854,,0.07,,,,0.08,,,,,0.1,,,,0.16
              Pinnievirus,2948866,,,,,,,,,,0.13,,,,,
                  Pipoluvirus,2948867,,,,,,,,,,,,,,,0.14
                  Thalassavirus,2948922,,,,,,,,,,,,,,,0.12
                Triduovirus,2948933,,0.12,,0.73,,0.13,,,,0.28,0.16,,,,
                Valinorvirus,2948943,,0.14,,,,,0.08,,,,,,,,
              Axeltriavirus,3044667,0.03,,,,,,,,,,,,,0.1,
                Cavevirus,3044684,,,,0.29,,,,,,,,,,,
              Cobrasixvirus,3044690,0.09,0.1,,,0.38,0.33,0.23,0.18,,0.2,0.09,,,0.36,0.18
              Iggyvirus,3044738,,,0.31,,,,,,,,,,,,
              Ittyvirus,3044742,,0.05,,,,,,,,0.13,,,,,
                Moazamivirus,3044766,0.07,,,,,,,,,,,,,,
                  Moovirus,3044769,,0.05,,,,,,,,,,,,,
              Pavtokvirus,3044786,0.05,0.06,,,,,,,,,,,,,0.11
                Phabiovirus,3044790,,,,,,,,,,,0.18,,,,
              Syrbvirus,3044838,,,,,,,,,,,0.09,,,,
                Varunavirus,3044852,,0.07,0.23,,,,,,,0.43,0.34,,,,
              Medeavirus,3152510,,0.05,,,,,,,,,,,,,
                  Cinvestavvirus,3152598,0.04,0.1,,,,0.06,0.09,0.08,,,,,,,0.21
                  Shenlongvirus,3152898,,,,,,,,,0.49,,,,,,
              Eidolonvirus,3152915,,,,,,0.09,,,,,,,,,
              Kharnvirus,3152916,,,,,,0.33,,,,,,,,,
              Chewyvirus,3152994,0.03,,,,,,,,,,0.2,,,,
                Seretavirus,3152998,0.05,,,,,,,,,,,,,,
                  Longwangvirus,3153014,0.04,0.42,0.56,1.27,0.24,0.16,0.37,0.2,1.17,0.35,0.33,0.2,0.39,0.25,0.19
              Torvergatavirus,3153079,,0.07,,,,0.18,0.12,,,,,,,,0.24
              Shockervirus,3153082,0.07,0.17,,,,,,,,0.15,,,,,0.13
                  Pazvirus,3424920,,,,,,,,,,,0.13,,,,
                  Hennigervirus,3424959,,,,,,,,,,,,,0.43,,
