name,taxid,ERR14789334,ERR14789335,ERR14789336,ERR14789337,ERR14789338,ERR14789339,ERR14789340,ERR14789341,ERR14789342,ERR14789343,ERR14789344,ERR14789345,ERR14789346,ERR14789347,ERR14789348
                  Kehishuvirus,2942980,0.25,,,0.01,0.54,,0.24,,,0.46,,0.3,,,0.25
                  Afonbuvirus,2942989,1.59,2.13,2.44,0.09,2.68,5.18,3.66,2.42,1.27,3.76,3.16,1.18,0.02,0.16,1.37
                  Canhaevirus,2942990,0.31,,0.42,0.02,0.39,0.71,0.48,0.46,,0.69,0.65,0.35,,0.04,0.34
                  Cohcovirus,2942991,0.64,0.75,0.48,0.02,0.63,1.25,0.72,0.93,0.74,1.33,0.75,0.65,,0.04,0.58
                  Culoivirus,2942992,0.24,,,,,,0.58,,,0.33,0.4,,,,0.16
                  Blohavirus,2942993,1.32,0.97,1.87,0.08,1.87,3.81,3.02,1.2,0.77,2.53,2.19,1.31,0.01,0.08,1.06
                  Buchavirus,2942994,0.57,,0.71,0.02,0.88,1.23,1.52,0.88,0.53,1.42,1.03,0.57,0.01,0.03,0.56
                Gwanakrovirus,2943008,0.12,,0.35,,,,0.57,0.28,,,0.33,0.3,,,0.12
                Salvovirus,2943016,0.11,,,,,,0.48,,,,,,,,0.17
                Sharonstreetvirus,2943019,,,,0.01,,,0.93,,,,0.25,,,,0.18
                  Aurodevirus,2946811,1.21,1.19,1.29,0.05,2.14,2.72,2.67,1.46,0.84,2.67,2.42,0.62,0.01,0.08,1.2
              Beograduvirus,2946820,,,,,,,,,,,,,0.01,,
                  Birpovirus,2946830,0.45,0.37,0.64,0.03,0.9,1.55,1.32,0.36,,1.0,0.91,0.46,,,0.36
                Bluvavirus,2946831,,,,,,,,,,,,,,0.13,
                  Buorbuivirus,2948644,0.23,0.52,0.34,,0.49,,0.4,,,0.54,0.39,,,,0.28
                  Burzaovirus,2948645,5.3,8.14,5.98,0.33,6.79,16.19,17.3,9.88,9.19,17.61,17.34,14.74,0.08,0.36,9.09
                  Carjivirus,2948652,4.93,3.88,7.33,0.41,9.37,14.33,11.14,4.99,3.62,10.22,9.81,4.33,0.05,0.37,4.9
                Chrysonvirus,2948662,,,,,,,,,,,,,0.04,,1.64
                  Diorhovirus,2948680,0.12,,,,,,0.33,,,0.35,,,,,0.15
                  Delmidovirus,2948688,,,,,,,0.36,,,0.35,,,,,0.19
                Efbeekayvirus,2948690,0.29,,,,0.37,,0.36,,,0.71,,,,0.1,0.15
                  Endlipuvirus,2948697,0.18,,,,,0.68,,,,0.31,0.28,,,,0.14
                Exceevirus,2948704,,,,,,,,,,,,,,,0.1
              Finchvirus,2948706,,,,,,,,0.28,,,,,,,0.13
                  Fohxhuevirus,2948709,0.24,,,0.01,,,0.36,,,0.43,0.65,0.49,,,0.2
                  Gruunavirus,2948731,,,,0.01,,,,,,,,,,,
              Hungariovirus,2948761,,,,,,,,,,,,,0.05,,
                  Jahgtovirus,2948767,1.01,1.23,1.03,0.04,1.49,1.89,3.06,1.92,0.93,2.37,2.11,1.5,0.01,0.1,1.16
                  Junduvirus,2948774,0.1,,,,,,0.24,,,0.26,,,,,0.19
                  Kablunavirus,2948776,,,,0.02,,,,,,,,,,,
