name,taxid,ERR14789368,ERR14789369,ERR14789370,ERR14789371,ERR14789372,ERR14789373,ERR14789374,ERR14789375,ERR14789376,ERR14789377,ERR14789378,ERR14789379,ERR14789380,ERR14789381,ERR14789382
                  Aurodevirus,2946811,0.89,0.98,1.32,0.77,1.1,1.38,2.09,1.51,1.38,1.2,0.32,2.6,1.79,1.89,1.14
                  Birpovirus,2946830,,,0.25,,0.25,0.43,0.25,,,,,,,,
                  Buorbuivirus,2948644,0.17,,0.23,,,,,,,,,0.36,,,
                  Burzaovirus,2948645,5.87,5.04,7.54,12.07,14.77,8.23,14.29,10.75,7.08,5.93,1.03,17.39,7.54,6.27,11.49
                  Carjivirus,2948652,1.25,0.74,0.92,1.31,0.97,1.53,2.17,1.63,0.98,,,3.22,1.33,1.66,1.77
                  Chuhaivirus,2948663,0.19,,,,,,,,,,,,,,
                  Dabirmavirus,2948671,0.17,,,,,,,,,,,,,,
                  Drivevirus,2948684,0.17,,,,0.25,,0.31,,,,,,0.3,,
                  Delmidovirus,2948688,0.25,,0.37,,0.27,,0.5,0.38,,,,0.72,,0.3,0.29
                Efbeekayvirus,2948690,0.22,0.22,0.19,,,0.35,,,,,,,,0.3,
                  Endlipuvirus,2948697,,,,,,,,,,,,0.42,0.23,,
                Exceevirus,2948704,,,,,0.66,,,,,,,,,,
                  Fohxhuevirus,2948709,0.88,0.5,0.52,1.07,1.26,0.56,0.97,0.61,0.76,,,1.4,0.98,0.97,0.84
                  Jahgtovirus,2948767,0.37,0.44,0.45,0.47,0.56,0.37,0.64,0.68,,,0.21,0.75,0.67,0.44,0.45
                  Junduvirus,2948774,3.07,4.05,3.91,,,4.41,,,,,,,,,
                  Kingevirus,2948785,0.68,1.0,0.9,1.11,0.68,1.11,0.94,0.38,1.16,,,1.01,0.75,1.28,1.01
                  Kolpuevirus,2948787,0.34,,,,0.42,0.28,0.39,0.57,,,,0.6,0.29,,0.4
                  Mahlunavirus,2948812,,,,,0.19,0.32,,,,,,,0.17,,
                  Pamirivirus,2948854,,,,,0.2,,,,,,,,,,
              Pharaohvirus,2948861,,,,,,,,,,,0.3,,,,
              Skatevirus,2948910,,,,,,,0.39,,,,,,,,
              Turbidovirus,2948936,,,,0.39,,0.43,,,,,,,,0.91,
                Valinorvirus,2948943,,,,,,,,,,,0.21,,,,
                  Xooduovirus,2948956,,,,,,,,,,,,0.85,,,
              Axeltriavirus,3044667,,,,,,,,,,,,,0.18,,
              Cobrasixvirus,3044690,0.18,0.35,,,,,,,,1.14,,2.65,0.5,,
              Midgardsormrvirus,3044764,,,,,,,,,,,,0.33,,,
