name,taxid,ERR14789028,ERR14789029,ERR14789030,ERR14789031,ERR14789032,ERR14789033,ERR14789038,ERR14789039,ERR14789040,ERR14789041,ERR14789042,ERR14789368,ERR14789369,ERR14789370,ERR14789371,ERR14789372,ERR14789378,ERR14789379,ERR14789380,ERR14789381,ERR14789382
              Armstrongvirus,2733167,0.09,,,,,,,0.38,,0.09,,0.3,0.64,0.34,0.83,0.27,0.56,0.42,0.6,0.55,0.41
              Feofaniavirus,2733174,,,,,,,,0.3,,,,,,,,,,0.65,,,
              Squashvirus,2733215,,,,,,,0.04,,,,,,,,,,0.23,,,,
                  Hemiambidensovirus,2733225,,0.28,,0.27,0.23,0.14,,,0.14,,0.41,,,,,,,,,,
                  Chaphamaparvovirus,2733231,0.1,0.81,0.46,0.4,1.08,1.18,0.18,0.59,0.31,0.22,0.78,,,,,,,,,,
                Apeevirus,2842379,,,,,,,,,,,,,,,,,,,,,0.38
              Akonivirus,2842540,0.06,0.02,,,,0.05,,0.16,,,,0.33,0.58,0.43,0.62,0.21,,0.46,0.32,0.67,0.46
                Cbunavirus,2842586,0.07,,,,,,,,,,,0.47,0.3,0.54,0.69,0.37,,1.14,0.3,0.69,
                Cehakivirus,2842589,,,,,,,,,,,,0.24,,,0.35,,,0.33,,,
                  Dongdastvirus,2842653,,,,,,,,,,,,,,,0.52,,,,,,
                Gihfavirus,2842702,,,,,,,2.5,,,,0.46,,,,,,32.76,,,,3.13
                  Inbricusvirus,2842758,,,,,,,,0.14,,,,0.16,,,0.73,,,,,,
                Ishugivirus,2842767,0.08,,,,,0.14,,,,,,0.73,,0.9,0.66,0.47,,,0.18,0.69,
                Kemicevirus,2842792,0.05,,,,,0.08,,,,,,0.33,,0.47,0.48,0.54,0.23,0.75,0.38,0.61,0.32
              Kenoshavirus,2842796,,,,,,,,,,,,,,,0.35,,,,,0.44,
                Kinglevirus,2842802,,,,,,,0.42,,0.01,,0.06,,0.44,0.39,0.35,,5.57,,0.23,0.3,0.93
                Kohmavirus,2842807,,,,,,0.07,,,,,,,0.24,0.45,0.38,0.21,,,,0.78,0.41
              Mydovirus,2842888,,,,,,,,,,,,,,,,,,0.39,,,
              Nochtlivirus,2842908,,,,,,,,0.59,,,,,,,,,,1.55,,,
                Pokkenvirus,2842972,,,,,,,,,,,,,0.2,,0.45,,,,,,
              Tinytimothyvirus,2843096,0.04,,,,,,,0.13,,0.09,,0.17,,,,0.21,,0.42,,,
              Wongtaivirus,2843141,,,,,,,,0.29,,,,,,,,,,0.86,,,
                Zurivirus,2843162,,,,,,,,,,,,,,,0.83,,,,,,
              Audreyjarvisvirus,2843351,,,,,,,,,,,,,,,0.35,0.48,,,,,
                Bcepfunavirus,2843356,,,,,,,,,,,,,,,,,,0.36,,,
              Burrovirus,2843362,0.58,0.03,0.04,0.13,0.12,0.29,0.02,1.69,,0.59,,1.8,1.96,1.4,5.84,1.69,0.36,3.94,1.1,2.52,2.03
              Hattifnattvirus,2843390,,,,,,,,,,,,0.44,,0.68,0.77,0.69,,,,1.16,0.48
                Labanvirus,2843408,,,,,,,,,,,,0.33,,,0.41,0.25,,,,0.58,0.35
              Lillamyvirus,2843418,,,,,,0.11,,,,,,0.67,0.22,0.43,3.58,1.15,,2.27,1.21,1.61,2.41
              Moturavirus,2843423,,,,,,,,,,,,0.16,0.24,0.19,,0.23,,,,,
              Muminvirus,2843426,,,,,,,,,,,,0.99,1.42,1.69,1.48,2.28,,3.01,,2.61,1.67
              Parlovirus,2843433,,,,,,,,,,,,,,,,,,0.33,,,
                Privateervirus,2843440,,,,,,,,,,,,,,,,,,0.85,,,
                Yonseivirus,2843478,0.1,,,,,,,0.29,,0.14,,0.6,0.38,0.21,0.86,0.43,,0.65,0.22,0.39,
                  Akihdevirus,2942978,,,,,,,,,,,,,,,0.89,,,,,0.83,
                  Kahnovirus,2942979,,0.03,0.05,0.03,,0.06,,,,,,1.12,0.94,1.31,1.56,2.06,,2.57,1.26,1.25,1.53
                  Kehishuvirus,2942980,,,,,,,,,,,,0.36,0.38,0.41,,0.44,,0.54,0.27,0.44,0.45
                  Paundivirus,2942981,,,,,,,,,,,,,,,,0.22,,,,,0.37
                  Afonbuvirus,2942989,,,,,,,,,,,,0.47,0.32,0.62,0.52,0.7,,1.4,0.53,0.67,0.55
                  Canhaevirus,2942990,,,,,,,,,,,,0.27,,0.31,0.54,0.32,,0.74,0.27,0.47,0.43
                  Cohcovirus,2942991,,,,,,,,,,,,0.36,0.32,0.46,0.57,0.26,0.19,0.73,0.38,0.42,0.61
                  Culoivirus,2942992,,,,,,,,,,,,,,,,0.2,,,,,
                  Blohavirus,2942993,,,,,,,,,,,,0.18,,0.21,,,,,0.19,,
                  Buchavirus,2942994,,,,,,,0.01,,,,,0.29,0.34,0.19,,0.35,,0.33,0.35,0.3,
                Phobosvirus,2943014,,,,,,,,,,,,,,,,,,0.85,,,
