name,taxid,ERR14789363,ERR14789354,ERR14789359,ERR14789366,ERR14789356,ERR14789361,ERR14789364,ERR14789353,ERR14789350,ERR14789367,ERR14789362,ERR14789355,ERR14789358,ERR14789365,ERR14789357,ERR14789360,ERR14789266,ERR14789263,ERR14789272,ERR14789259,ERR14789269,ERR14789264,ERR14789261,ERR14789270,ERR14789262,ERR14789273,ERR14789267,ERR14789260,ERR14789271,ERR14789268,ERR14789265,ERR14789310,ERR14789309,ERR14789315,ERR14789318,ERR14789312,ERR14789320,ERR14789317,ERR14789308,ERR14789314,ERR14789319,ERR14789311,ERR14789321,ERR14789316,ERR14789307,ERR14789313,ERR14789380,ERR14789372,ERR14789377,ERR14789382,ERR14789370,ERR14789375,ERR14789369,ERR14789378,ERR14789376,ERR14789381,ERR14789373,ERR14789374,ERR14789368,ERR14789379,ERR14789371,ERR14789288,ERR14789294,ERR14789285,ERR14789291,ERR14789296,ERR14789287,ERR14789282,ERR14789293,ERR14789290,ERR14789289,ERR14789295,ERR14789284,ERR14789283,ERR14789292,ERR14789297,ERR14789286,ERR14789183,ERR14789186,ERR14789179,ERR14789190,ERR14789176,ERR14789189,ERR14789184,ERR14789175,ERR14789178,ERR14789187,ERR14789182,ERR14789188,ERR14789177,ERR14789185,ERR14789336,ERR14789348,ERR14789345,ERR14789340,ERR14789334,ERR14789347,ERR14789339,ERR14789342,ERR14789341,ERR14789337,ERR14789344,ERR14789343,ERR14789335,ERR14789346,ERR14789338,ERR14789327,ERR14789322,ERR14789333,ERR14789328,ERR14789325,ERR14789331,ERR14789323,ERR14789332,ERR14789326,ERR14789330,ERR14789329,ERR14789324
                  Yuavirus,1299429,,,,0.09,,,,,,0.8,,0.74,0.09,0.72,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Hunnivirus,1431456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Protoparvovirus,1506574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Bocaparvovirus,1507401,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,0.69,,,,,0.17,0.58,,,0.16,,0.26,,,0.28,0.25,,0.29,0.32,,0.52,0.31,0.62,,0.32,0.28,,,0.35,,,,0.08,,,,,,3.48,2.86,,,,,0.72,0.02,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,
            Alphanudivirus,1511853,0.16,,0.19,0.31,,0.46,,,,0.2,0.28,,0.13,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Nyavirus,1513295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,
                  Marseillevirus,1513458,,,,,,,,,,,0.24,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Gemycircularvirus,1542744,,,,,,,0.86,0.04,,,1.82,0.21,,,,0.09,,,,,,,0.22,,2.18,0.73,,0.4,,,,,,0.91,,1.25,,,,,,,,,,,1.51,0.59,2.28,2.25,0.8,2.17,5.2,5.62,1.06,0.53,0.44,0.64,0.28,,0.72,0.69,,,,0.08,,1.34,,,,0.06,0.1,,,,,0.11,,,0.24,1.04,0.27,0.16,,,0.18,,1.26,,,,,6.1,,,,,0.86,1.56,,,,3.29,,,1.61,,,,0.19,,0.16,0.08,,,,
              Bignuzvirus,1623277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Bronvirus,1623278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Charlievirus,1623280,,,,,,,,,,,,0.23,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Cheoctovirus,1623281,,,,,,,0.77,,,0.52,,0.79,,,,,,,,0.33,,,0.33,,0.33,,,0.25,,,0.67,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,0.24,,0.41,,,0.48,,,,,0.15,0.3,,,,,,,0.52,0.32,,,,,,,,,0.4,1.35,1.11,0.89,,,,,,,,,,,,,,,,,,,0.11,,,
                Chivirus,1623283,,,,,,,,,,,,,,,,,,,,1.41,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,0.52,,,0.08,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Kostyavirus,1623284,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Corndogvirus,1623285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,1.04,,,,0.13,,1.65,0.19,1.33,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,
              Detrevirus,1623287,0.37,,0.22,0.48,,,,,,,0.87,,0.32,,,0.16,,,0.2,0.11,0.37,,,0.25,,,,0.09,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,0.05,,,
              Liefievirus,1623288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,
              Dhillonvirus,1623289,,0.06,,0.1,,,,,,0.11,,,0.09,,0.16,,,,,0.2,0.14,0.15,0.2,,0.39,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,0.16,,,,,0.12,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.05,,,,
              Pegunavirus,1623295,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Stanholtvirus,1623297,,,0.2,0.19,,0.42,,,,0.12,,,0.32,,0.43,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Coetzeevirus,1623300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Brussowvirus,1623303,,,,,,,,,13.81,,,,,,,,,,0.15,0.36,,0.29,0.23,,0.35,0.28,,0.11,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,,0.19,,,,,,0.11,0.35,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Moineauvirus,1623304,,,,,,,,,,,,,,,,,0.77,,0.31,0.98,,0.46,0.34,,0.37,1.16,0.6,0.2,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,
              Skunavirus,1623305,,,,,,,,0.06,,0.16,,,,,,,0.21,,0.3,0.56,,0.96,0.55,,0.84,0.68,,0.23,0.2,0.53,0.5,,,,,,,,0.39,0.19,0.22,0.16,,0.25,0.27,0.11,,,,,,,,,,,,,,,,0.7,0.12,0.36,0.15,0.28,0.22,,0.38,0.13,0.14,0.08,0.33,0.36,0.21,0.17,0.29,0.09,0.34,0.7,0.92,0.29,0.69,0.31,0.9,0.97,1.86,,1.99,,0.42,,0.18,,0.45,0.22,,,,1.44,0.01,0.99,0.37,,,0.37,1.08,0.52,0.87,0.69,0.61,1.12,0.37,1.17,0.23,1.34,0.71,
                  Mammarenavirus,1653394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Lessievirus,1720323,0.08,0.16,0.19,0.15,0.31,0.58,,,,0.22,,0.31,0.16,0.26,0.29,0.14,,,,0.15,0.18,,0.14,0.81,0.11,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,0.05,,,,
              Hollowayvirus,1720324,0.26,0.4,0.19,0.25,0.25,,,0.11,,0.3,0.28,1.3,0.1,1.49,0.39,0.07,,,0.23,0.55,,0.4,0.35,0.25,0.63,0.35,0.2,0.38,,0.27,0.24,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,0.17,,,,,0.06,,,,,,,,,,,,,,,,,0.44,0.09,,0.31,0.1,,,,,,,,,,,,0.2,,,,0.2,,0.07,,,,
                  Sicinivirus,1755587,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Kayvirus,1857843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Silviavirus,1857889,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Betapolyomavirus,1891714,,,,,,,,,,,,,,,,,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Agatevirus,1910931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,
                  Alphatrevirus,1910951,0.16,0.08,,,0.29,,,0.05,,,0.18,,,0.21,,,,,,0.12,,,0.11,,0.13,,,0.08,,,,,,,,,,0.17,,,,,,,,,0.25,0.49,,,0.39,,0.26,,,,0.3,,0.24,0.36,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,0.24,0.12,,,,,,0.25,0.22,,,,,,,,,,,0.09,0.1,,,
                  Gequatrovirus,1910952,,0.13,0.12,0.09,,,,,,,,0.19,0.13,0.17,0.16,0.11,,,,0.12,,,,,,,,0.14,,,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.07,,,
                  Sinsheimervirus,1910954,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,0.21,,,,
                  Jerseyvirus,1910991,,,,,,,,0.05,,,,,,,,,0.53,,,,0.23,0.55,0.08,,0.08,,,0.1,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,1.32,,,,,0.13,0.21,,,0.25,0.83,0.56,0.3,0.19,0.59,0.03,0.71,,0.02,0.06,,0.12,,0.23,0.14,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Kagunavirus,1910992,0.11,0.28,0.19,0.22,0.44,0.92,0.22,0.18,,0.44,0.13,0.5,0.28,0.21,0.34,0.4,0.62,1.8,1.17,0.44,0.58,1.43,0.5,1.02,0.57,0.46,0.52,0.68,0.63,0.33,0.83,,1.35,0.53,0.81,0.37,1.24,1.0,1.32,3.06,1.05,0.79,0.84,0.54,1.11,0.73,0.81,1.01,1.48,0.67,1.1,0.76,0.84,0.38,0.58,0.89,1.0,0.71,0.84,2.53,1.11,,0.96,0.56,0.45,1.43,0.28,2.01,1.29,8.04,1.28,0.88,0.58,5.82,0.39,7.84,0.31,0.19,0.83,3.91,1.36,1.78,1.1,2.0,6.17,2.28,2.13,,1.17,3.24,1.41,0.67,0.24,0.64,0.73,0.67,0.04,,,0.49,,0.5,0.64,1.55,,0.78,0.38,0.23,0.83,,0.12,0.6,0.11,0.39,0.1,0.46,,
                  Cornellvirus,1910993,,,,,,,,0.21,,,,,,,,,,,,0.16,0.69,1.06,0.32,0.47,0.27,,,0.56,1.02,0.2,0.3,,,,,,,,,,,0.14,,,,0.12,,,,,,,,,,,,,,,,,0.26,,0.38,0.57,,,1.03,1.0,1.96,1.33,0.56,0.98,0.08,0.55,0.31,0.04,0.07,,0.17,0.33,0.52,0.4,1.58,,0.28,,0.41,,0.22,,0.23,,0.96,,,,,,,,,0.88,,,,,,,,,0.08,0.08,,,,
                  Alphacarmovirus,1911599,0.08,,,0.09,0.31,,0.29,0.16,,0.12,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.05,,0.21,0.24,,,,,,,0.16,,,,,,,0.1,,,,,,,0.22,,,,,,,,,,,0.09,,,,
                  Gammacarmovirus,1911601,0.26,0.24,0.27,0.32,1.29,1.19,1.45,0.87,,0.94,0.3,0.56,1.3,,,0.71,1.55,,,0.09,,0.51,0.3,0.39,0.19,0.26,0.52,0.18,0.28,1.81,1.09,,0.34,0.48,2.08,1.22,0.95,3.62,2.37,0.78,0.27,,,0.69,0.76,0.65,3.14,2.14,,2.89,2.06,3.9,2.6,5.84,7.21,7.01,1.18,3.3,2.84,1.63,2.84,,0.18,,,,,,0.26,,,,,,,,0.43,1.73,3.13,6.42,0.71,4.08,0.19,4.54,1.65,3.19,0.14,1.59,0.58,3.95,3.5,,0.24,0.37,,1.64,,,0.4,,,0.4,0.29,,0.01,0.92,,,,,0.23,0.15,0.33,0.13,0.19,0.16,,0.39
                  Caeruleovirus,1911929,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Mosigvirus,1913652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.21,,,,,,
                  Gelderlandvirus,1913653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,0.14,,0.12,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Gaprivervirus,1913654,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,
                  Dhakavirus,1914165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Certrevirus,1914850,,,,,,,,,,,,,,0.24,,,,,,0.11,,,,,0.13,,,0.06,,,0.26,,,,,,,,,,0.1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.03,,0.23,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Seunavirus,1914851,,,,,,,,0.03,,,,,,,,,,,,,,,0.18,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Vequintavirus,1914852,0.19,0.12,0.08,0.09,0.44,0.62,,,,0.22,,0.25,,0.33,,,,,0.4,0.99,,0.34,0.44,0.24,0.34,0.51,0.42,0.22,0.21,0.27,0.3,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,0.39,,,,,,,0.51,,,,,,,,0.36,,,,,,,,,,,,,,,,,,0.25,,0.26,0.15,,,,,,0.36,0.19,,,,,,0.21,0.19,0.09,0.35,,0.24,0.06,,,
              Obolenskvirus,1915205,,,,,,,,,,,,,,,,,,,,0.24,0.45,,0.16,0.45,0.23,,,0.15,1.34,,0.23,,,,,,,,,,0.16,0.16,,,,,,,,,,,,,,,,,,0.33,,,0.26,,0.08,0.21,,,,0.52,0.31,1.13,0.22,,0.03,0.35,,0.04,0.09,,0.09,,0.18,0.24,,,,,0.11,,0.23,,,,0.39,,,,,,,,,,,,,,,,,,,0.08,,,,
              Jilinvirus,1918725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,
              Mapvirus,1920750,,,0.18,0.11,,,,,,,,,0.26,,0.18,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,
                  Gamaleyavirus,1920753,0.34,0.18,,,0.62,0.62,0.31,0.05,5.77,0.14,0.2,0.39,0.09,0.31,,0.08,0.88,,0.67,1.22,1.43,1.43,1.41,0.34,0.58,0.33,0.58,1.62,0.38,0.24,0.69,,0.32,1.05,,0.21,,0.58,,0.42,1.02,0.49,,0.37,0.27,0.48,0.4,0.72,,0.38,0.54,0.62,0.36,,0.58,0.33,0.28,0.4,0.33,0.36,0.35,,0.17,6.65,0.28,0.16,,,0.14,0.26,0.54,0.51,0.19,1.1,0.12,0.17,0.45,0.07,0.64,1.82,0.79,0.49,0.62,1.02,0.49,0.46,1.12,0.71,0.96,1.96,0.96,,0.15,,,0.19,,,,,0.02,,0.21,,,,,,,,0.1,0.54,0.13,0.28,0.05,,,
                  Litunavirus,1920762,0.13,0.06,,,,,,,,,,,,,,,,,0.55,,,,0.1,0.19,0.1,,,0.08,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,0.01,,,,,,0.04,,,0.08,,,0.34,
                  Drulisvirus,1920774,,0.2,0.23,0.16,0.33,0.73,,0.28,4.15,0.43,0.21,0.35,0.11,0.41,,0.17,2.01,,1.09,0.97,1.84,1.83,1.92,1.52,2.03,1.43,0.98,2.9,0.56,1.6,6.15,,0.34,1.82,0.65,,,0.37,,1.75,0.34,0.86,0.61,0.26,0.96,0.55,,,,,,,,,,,,,,,,0.21,0.36,0.37,0.41,0.58,0.95,1.06,0.47,0.88,1.13,1.07,0.95,1.64,1.51,0.51,0.26,0.09,0.26,1.22,0.53,0.37,0.72,0.66,1.02,1.05,0.95,,0.71,2.0,0.38,0.42,0.19,,0.26,0.2,0.09,,,,0.02,,,,,,,,0.29,,0.05,0.31,,0.29,0.04,0.16,,
                Webervirus,1920860,,,,,,,,0.11,,,,,,,,,,,2.89,0.25,,0.22,0.3,0.28,0.82,0.38,,0.3,0.11,0.25,,8.42,3.75,6.42,3.99,4.04,5.1,2.93,3.34,7.81,3.86,6.23,5.36,3.46,4.41,3.13,0.28,0.21,,,,,,,,,,,0.19,0.55,,3.4,0.79,10.43,2.01,0.21,1.48,1.34,1.0,1.37,1.27,1.28,0.47,2.17,1.24,1.34,1.48,0.15,0.73,3.26,0.5,0.91,0.8,1.84,1.2,2.42,0.87,1.53,0.68,3.14,1.25,,0.35,0.34,1.85,0.17,,,,,0.02,0.4,0.26,0.41,,0.41,,,,,,,,0.05,,,,
                  Tlsvirus,1920865,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,0.16,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,
              Nonagvirus,1921117,,0.05,,,,,,,,0.12,,,,,,,,,,0.23,,,,,0.13,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Nonanavirus,1921122,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Pagevirus,1921184,,,,,,,,,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Pakpunavirus,1921407,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,
              Kleczkowskavirus,1921525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Septimatrevirus,1921544,,0.12,0.13,,0.22,,,0.1,,0.23,,0.21,0.07,,,0.12,,,0.48,0.54,,0.56,0.63,0.19,0.52,0.81,0.25,0.34,,0.15,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,0.17,,,0.12,,,,,0.1,,,,,,,,,,,,,,,,,,0.1,,0.81,0.1,,,,,,,,,,,,,,,,,,0.1,,,,
                  Wphvirus,1922327,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Enhodamvirus,1922329,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Gemykibivirus,1941236,,0.09,,,,,2.62,0.11,,0.35,,0.81,0.14,0.34,,0.14,0.68,,,0.69,,0.39,2.28,0.45,2.16,,0.23,4.53,0.12,0.35,0.38,,0.34,0.67,,5.31,,,0.47,,,,,0.26,,0.44,2.2,1.47,10.43,3.4,0.99,5.17,5.3,8.36,7.0,4.63,1.14,1.08,0.95,0.81,2.04,,0.18,0.58,0.06,0.15,,,0.44,0.15,0.29,0.22,0.16,0.56,0.1,0.26,13.66,1.91,1.24,1.56,3.14,3.05,4.42,2.66,1.74,10.59,2.72,4.53,5.8,1.05,1.52,,0.37,3.97,0.57,0.37,,,2.39,5.26,,0.35,0.19,2.24,,0.75,1.14,0.42,,,0.96,,0.19,0.14,0.04,,0.34,
                Gemykolovirus,1941238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Orthonairovirus,1980517,0.13,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  Sepunavirus,1980928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Yokohamavirus,1980938,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Korravirus,1982076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Mudcatvirus,1982088,,,,,,,,0.03,,,,,,,,,,,,0.16,,,,,0.08,,,0.07,,,,,,,,,,,,,0.1,0.14,,,,,,,,,,,,,0.45,0.28,,,0.16,,0.41,,,,0.08,,,,,0.12,,,,,0.14,0.11,,,0.06,,,,,,,,,,,,,,,,,,,,1.7,0.28,,,,,,,,0.39,,,,,,0.1,,,,
                  Abidjanvirus,1982095,,,,,,,,,,,,,,,,,,,0.11,0.26,,0.5,0.17,,0.2,0.18,,0.1,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Eiauvirus,1982111,,,,,,,,,,,,,,,,,,,0.69,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
