name,taxid,ERR14789259,ERR14789260,ERR14789261,ERR14789262,ERR14789263,ERR14789264,ERR14789265,ERR14789266,ERR14789267,ERR14789268,ERR14789269,ERR14789270,ERR14789271,ERR14789272,ERR14789273
                Sanovirus,2560222,0.15,,,,,,,,,,,,,,
                Sugarlandvirus,2560233,0.35,0.34,0.53,0.43,,1.14,0.5,0.5,,0.38,,0.56,0.17,0.35,0.37
                Tulanevirus,2560244,0.34,0.28,0.29,0.37,,0.28,0.36,,,,0.19,,,0.3,0.35
                Unahavirus,2560245,,0.1,,,,,,,,,,,,,
              Vicosavirus,2560248,,,,,,,,,,,,1.35,,,0.24
                  Pettyvirus,2731671,0.14,0.12,0.15,0.17,,0.76,,0.38,0.52,1.31,0.53,0.56,1.21,0.19,0.29
                  Daemvirus,2731672,0.33,0.52,1.13,0.27,,0.88,0.22,,0.23,0.26,1.65,1.03,4.49,0.99,0.75
                  Bonnellvirus,2731932,,0.11,,0.2,,0.51,,,,,,,,,
                Gajwadongvirus,2731941,,0.14,,0.1,,,,,,,,,,,
                Gyeongsanvirus,2731942,,,,,,,,,,,,,0.18,,
                Kelmasvirus,2731950,0.17,,,,,,,,,,,,,,
                Paadamvirus,2731961,,,,,,,,,,,0.19,,,,
                Piedvirus,2731968,,,,,,,,,,,0.37,0.21,0.19,,
                Scottvirus,2731973,,,,0.08,,,,,,,,,,,
                  Epseptimavirus,2732017,0.07,0.09,0.11,0.07,,0.23,,,,,,,,,
                Shenzhenvirus,2732038,0.43,0.17,0.29,0.23,,0.74,0.34,0.2,,,0.29,,,0.24,0.51
                Nouzillyvirus,2732049,,,0.1,,,,,,,,,,,,
                  Aarhusvirus,2732675,,,0.1,,,,,,,,,,,,
                  Apdecimavirus,2732676,1.84,0.2,0.78,1.52,,0.62,0.76,0.35,1.22,1.14,,0.83,0.16,0.98,0.66
                  Berlinvirus,2732677,0.47,0.19,0.82,0.33,,0.64,,,0.43,,,,,0.36,0.46
                  Chatterjeevirus,2732679,0.22,,,0.19,,,,,,0.14,,,0.16,0.11,
                  Foetvirus,2732682,0.37,0.24,0.68,0.12,,1.3,0.26,0.22,0.23,,,,,0.19,0.6
                  Ghunavirus,2732683,,,,,,,,,,,,,0.58,,
                  Helsettvirus,2732684,0.07,,0.22,,,,,,,,,,,0.78,1.89
                  Jarilovirus,2732685,0.13,,,0.14,,,0.26,,,,,,,,
                  Kayfunavirus,2732686,0.53,0.51,0.94,0.43,,0.33,0.34,1.66,0.37,0.27,,,0.19,0.33,0.24
                  Minipunavirus,2732687,0.16,,,0.08,,,,,,,,,,,
                  Ningirsuvirus,2732688,,,,0.08,,,,,,,,,,0.14,
                  Pijolavirus,2732692,,,,,,,,,,,0.52,,,5.99,2.53
                  Teetrevirus,2732693,1.37,0.2,0.56,0.6,,0.56,0.45,,1.4,0.41,,0.29,0.18,1.07,0.57
                Tunggulvirus,2732909,,,,,,,,,,,0.58,12.32,0.18,12.47,13.69
                  Ahphunavirus,2732912,0.07,,,,,0.26,,,,,,,,,0.2
                  Kantovirus,2732920,,,,,,,,,,,3.67,,,,
                  Kotilavirus,2732921,,0.27,0.09,0.13,,,,,,,0.35,,0.54,,
                  Stompvirus,2732922,0.26,0.42,0.41,0.34,,0.22,0.46,,0.21,0.19,1.51,0.3,0.2,0.21,
                  Kirikabuvirus,2732923,,,0.1,,,,0.28,,,,7.17,0.58,19.61,0.3,
                Stubburvirus,2732924,0.69,0.15,0.27,0.2,,0.26,,,,,,,,0.22,0.24
                  Vectrevirus,2732928,,,,0.08,,,,,,,,,,,
                Ampunavirus,2732929,,0.06,0.1,,,,,,,,,,,,
                Risjevirus,2732932,,,0.09,,,,,,,,,,,,
                  Bucovirus,2732937,,,,0.09,,,,,,,5.96,0.96,,,
                  Koutsourovirus,2732938,,,,0.76,,,,,,,3.54,0.19,,,
                  Carltongylesvirus,2732960,0.26,0.35,0.26,0.22,,0.51,,,,,,,0.15,0.13,0.26
                  Faunusvirus,2732961,,0.07,,,,,,,,,,,,,
                  Loessnervirus,2732962,,,,0.07,,,,,,,,,,,
                  Pahsextavirus,2732963,1.34,1.33,1.2,1.3,,0.71,1.01,0.62,0.44,0.35,0.92,0.84,0.34,0.84,0.62
                  Schiekvirus,2732968,0.12,,,0.23,,,,,,,,,,,
                Harbinvirus,2732970,,,0.25,0.08,,0.56,,,,,,,,,
                Bielevirus,2732974,,,0.12,,,,,,,,,,,,
              Alexandravirus,2733088,0.22,0.08,0.13,0.15,,0.15,,,,,,,,0.15,
                Anaposvirus,2733090,0.09,,,,,,,,,,,,,,
              Baikalvirus,2733094,,,,,,,,,,,,,,0.77,
              Barbavirus,2733095,,,,,,,,,,,,,,0.22,
              Loughboroughvirus,2733112,,,,0.08,,,,,,,,,,,
                Petsuvirus,2733122,,,,,,,,,,0.23,,,,,
              Phapecoctavirus,2733124,,0.08,,0.11,,,,,,,,,,,
              Rosemountvirus,2733127,,,,0.13,,,,,,,,,,,
              Saclayvirus,2733128,0.33,0.21,1.16,0.17,,0.22,,,,0.14,0.22,0.26,,0.43,
              Toutatisvirus,2733138,0.25,0.1,0.17,0.31,,,0.22,,,0.18,,,,0.2,0.26
              Ryyoungvirus,2733147,,,,,,,,,,,,0.37,,,
                Shizishanvirus,2733148,,,,,,,,,,,,,0.22,10.4,2.22
                Poindextervirus,2733154,0.07,,,,,,,,,,,,,,
              Lenusvirus,2733160,0.11,,0.09,0.08,,0.19,0.2,,,,,,,0.11,
              Lidleunavirus,2733161,0.11,,,,,,,,,,,,,,
              Armstrongvirus,2733167,0.17,,0.11,0.2,,0.51,,,,,,,,0.2,0.31
              Bridgettevirus,2733170,,,,,,,,,,,,,0.12,,
              Feofaniavirus,2733174,,0.08,,,,,,,,,,,,,
              Goodmanvirus,2733179,0.09,,,,,,,,,,,,,,
              Kilunavirus,2733183,,,,0.1,,,,,,,,,,,
              Krampusvirus,2733184,,,0.08,0.11,,,,,,,,,,,
              Lanavirus,2733185,,,,0.08,,,,,,,,,,0.32,
              Lentavirus,2733186,,,0.14,0.17,,0.23,,,,,,,,,
              Maxrubnervirus,2733193,0.09,,0.16,0.72,,0.15,,,,,,0.19,,0.23,2.73
                  Mementomorivirus,2733194,,,0.14,,,,,,,,,,,,
                Metamorphoovirus,2733195,,0.24,,0.09,,,,,,,,,,,
              Neferthenavirus,2733198,0.07,,,,,,,,,,,,,,
              Oengusvirus,2733199,0.07,,,0.1,,,,,,,,,,,
                Quhwahvirus,2733202,,0.12,,,,,,,,,,,,,
              Sashavirus,2733210,,0.22,,,,,,,,,,,,,
              Schubertvirus,2733212,0.39,0.2,0.11,0.2,,0.25,1.05,0.26,,0.15,,0.26,,0.13,
              Seussvirus,2733213,,,,,,,,,,,,,0.16,,
                  Chaphamaparvovirus,2733231,,,,0.1,,,,,,,,,,,
                  Fadolivirus,2763561,,,0.09,,,,,,,,,,,,
                Alehxovirus,2842364,,,,0.07,1.16,,0.69,,,3.59,,,,,
                Anchaingvirus,2842373,,0.1,0.1,0.13,,,,,,,,,,,
                Apeevirus,2842379,0.26,0.87,1.02,0.51,1.58,1.08,0.97,0.48,,0.25,0.15,0.71,0.4,0.26,0.95
              Akonivirus,2842540,0.27,0.27,0.31,0.21,,0.29,0.44,,0.27,0.13,,,,0.26,
                  Aorunvirus,2842545,,,,0.15,,,,,,,,,,,
                Cbunavirus,2842586,1.46,3.19,2.63,0.85,2.44,1.84,2.32,1.63,0.77,0.92,1.17,1.01,1.18,0.73,0.6
                Citrovirus,2842608,,0.07,,,,,,,,,,,,,
                  Claudivirus,2842609,0.1,,,0.11,,,,,,,,,,,
                Dendoorenvirus,2842641,0.09,,,0.08,,,,,,,,,,,
                  Dongdastvirus,2842653,0.11,0.09,0.09,0.17,,,,,,,0.2,,0.12,,
                Eceepunavirus,2842661,0.07,0.07,0.19,0.09,,0.23,,,,,,,,0.15,
                Emesvirus,2842664,,1.29,0.27,,,0.15,,,,,,,,,
                Gihfavirus,2842702,,,,,,,,,,,,0.28,0.18,,
                Hagavirus,2842717,,,0.1,,,,,,,,,,,,
              Henunavirus,2842727,,0.08,,,,0.15,,,,,,,,,
                Hihdivirus,2842731,,0.62,0.12,,,,0.22,,,0.6,,,,0.11,
                Hohrdovirus,2842736,,,,0.08,1.9,,0.26,,,,,,,,0.29
                Hopescreekvirus,2842737,0.52,0.36,0.47,0.31,,0.53,0.38,0.26,0.29,0.24,,0.19,0.11,0.15,0.48
                Huelvavirus,2842739,,,,0.07,,,,,,,,,,,
                  Inbricusvirus,2842758,0.18,0.64,0.16,0.17,,,,,,0.13,0.16,,0.17,,
                Ishugivirus,2842767,0.07,3.22,0.74,0.1,,0.29,0.34,0.36,,0.32,,,,,0.29
                  Kaypoctavirus,2842786,0.2,0.09,,0.1,,0.3,,,,,,,,,
                Kemicevirus,2842792,0.19,0.22,0.22,0.12,4.65,0.17,0.52,0.42,0.31,0.35,,0.22,0.19,0.19,0.18
              Kenoshavirus,2842796,0.18,0.15,0.14,0.2,,,,,,,,0.21,0.15,0.18,
                Kinglevirus,2842802,,0.07,,,,,,,,,,0.39,0.53,,0.38
                Kowinovirus,2842810,,0.08,,,,,,,,,,,,,
                  Lasallevirus,2842819,,,,,,,,,,,,,0.27,,
                Littlefixvirus,2842828,,,0.08,0.1,,,,,,,,0.22,,0.59,
                Luthavirus,2842838,,,,,,,,,,0.97,,,,,0.18
                Mahraivirus,2842846,,0.07,,,,,,,,,,,,,
              Manuelvirus,2842852,,0.1,,,,,,,,,,,,,
                  Matsuvirus,2842857,,0.06,,,,,,,,,,,,,
                Mekintivirus,2842861,0.09,,,0.08,,,,,,,,,,,
                Melvirus,2842862,,,,,,,,,,,,,0.13,,
                Mintuvirus,2842872,,,,,,,,,,,0.51,,,,
                Mooreparkvirus,2842881,,,,,,0.15,,,,,,,,,
              Mydovirus,2842888,0.18,0.1,0.13,0.21,,0.31,,,,0.19,,,,,
                Nehpavirus,2842897,0.09,0.36,0.22,0.09,14.89,,3.07,0.8,,0.96,,,,0.19,0.31
              Nochtlivirus,2842908,,0.18,,,,,,,,,,,,,
                Pacinivirus,2842934,,0.07,0.09,0.08,,0.16,,,,,,,,,
                Paundecimvirus,2842942,0.07,0.17,,0.12,,,,,,,,,,,
                Paysduvirus,2842943,0.6,0.14,,0.78,7.81,,1.21,,,,,,,0.51,0.29
                Pokkenvirus,2842972,0.13,0.1,0.12,0.1,,,,,,,,,0.29,0.14,
                  Pollockvirus,2842973,,0.12,0.18,0.14,,,,,,,,,,,0.6
                  Pourcelvirus,2842976,0.14,0.13,0.11,0.16,,,,,,,0.24,,0.18,,
                Presleyvirus,2842977,0.18,0.17,0.23,,,0.2,,0.24,,,,,,,
                Pseudotevenvirus,2842979,0.4,0.13,0.09,,,0.16,0.37,,,,,,,,
                  Pylasvirus,2842993,0.25,0.56,0.33,0.29,,0.5,0.79,0.42,0.23,1.15,,,,0.13,
                Qubevirus,2842995,0.07,,,,,,,,,,,,,,
                  Raunefjordenvirus,2843000,,,,,,,,,,,,,,,0.18
                Riverridervirus,2843008,0.09,,0.1,,,,,,,,,,,,
                  Sabourvirus,2843014,0.39,0.53,0.42,0.33,,0.62,0.63,0.24,,,,0.24,0.23,0.35,0.26
                Salinovirus,2843017,,0.08,,,,,,,,,,,,,
                Stehlmavirus,2843058,,,,,,,0.22,,,,,,,,
                  Stoningtonvirus,2843060,,,0.09,,,,,,,,,,,,
                Ticahravirus,2843092,,0.57,0.38,,,,,,,,,,,,
