name,taxid,ERR14789322,ERR14789323,ERR14789324,ERR14789325,ERR14789326,ERR14789327,ERR14789328,ERR14789329,ERR14789330,ERR14789331,ERR14789332,ERR14789333
                  Ceceduovirus,2842588,,0.21,,,,,,,,,,
                Cehakivirus,2842589,,,,0.06,0.05,,,0.34,0.13,0.14,0.2,
                Dendoorenvirus,2842641,,,,,,,,,,,0.05,
                  Dongdastvirus,2842653,,0.09,,0.05,0.04,,,,0.15,,0.07,
                Emesvirus,2842664,,,,0.08,,,,,,,,
                Gihfavirus,2842702,0.81,0.54,,0.37,,,5.8,2.73,0.16,,,0.32
                Gmuhndevirus,2842706,,,,,,,0.15,0.83,0.3,,,
                Hohrdovirus,2842736,,,,0.26,,,,,0.36,0.18,0.31,0.21
                Ishugivirus,2842767,,0.1,,0.09,0.04,,,,,0.1,0.05,
                Ivolevirus,2842770,,,,,,,,,,,0.07,
                  Kaypoctavirus,2842786,,,,,,,,,,,0.06,
                Kemicevirus,2842792,,,,0.05,0.04,,,,,,0.11,
              Kenoshavirus,2842796,1.03,,,0.1,0.09,,,,0.17,0.19,0.12,0.34
                Kinglevirus,2842802,1.81,7.72,5.65,2.44,0.55,2.78,12.66,5.37,35.49,0.2,0.09,0.72
                Kowinovirus,2842810,,,,,,,,,,,0.06,
                Mahraivirus,2842846,,,,,,,,0.37,0.15,,,
                Mekintivirus,2842861,,,,0.15,,,,,,,,
                Mooreparkvirus,2842881,,,,,0.04,,,,,,,
              Mydovirus,2842888,,,,,,,,,,,0.06,
                Paundecimvirus,2842942,,0.95,,,,,,,,,,
                Paysduvirus,2842943,,0.08,,0.07,0.05,,0.88,1.69,3.03,0.28,0.66,0.29
                Pokkenvirus,2842972,,,,,0.03,,,,,0.12,0.05,
                  Pollockvirus,2842973,,,,,,,,,1.22,,,
              Secretariatvirus,2843027,,,,,,,,,,,0.05,
                Sholavirus,2843039,,,,,,,,,0.16,0.1,0.1,
                  Siovirus,2843048,,0.13,,,,,,,,,,
              Tanisvirus,2843069,,,,,,,,,,,0.12,
              Tinytimothyvirus,2843096,0.44,0.14,,,0.08,,,,0.16,0.13,0.15,0.2
                Zurivirus,2843162,,0.12,,,,,,,,,,
              Astrithrvirus,2843350,,,,0.04,,,,,,0.12,0.16,
              Audreyjarvisvirus,2843351,,,,0.06,0.05,,,,,,0.14,
              Burrovirus,2843362,1.41,0.77,0.48,0.29,0.75,1.68,0.39,1.35,1.77,0.98,1.25,2.0
              Fremauxvirus,2843383,,,,,,,,,,,0.1,
              Klausavirus,2843401,,,,,,0.55,0.46,0.92,0.34,,,
              Lillamyvirus,2843418,,0.24,,0.11,0.03,,,,0.43,,,
              Muldoonvirus,2843425,0.18,,,,0.04,,,,,,,
              Muminvirus,2843426,,,,0.15,0.19,,,,0.62,,,
              Nevevirus,2843430,,,,,,,,,,,0.06,
              Parlovirus,2843433,,,,,,,,,,,0.05,
              Plateaulakevirus,2843436,,,,0.09,0.09,,,,0.7,0.32,0.21,0.4
              Predatorvirus,2843439,0.48,,,,0.03,,,,,,,
                  Akihdevirus,2942978,0.28,,,,,,,,,,,
                  Kahnovirus,2942979,0.16,0.16,,0.26,0.22,0.45,0.26,,0.4,0.82,0.38,0.57
                  Kehishuvirus,2942980,0.21,0.09,,0.45,0.14,,0.23,0.31,0.47,1.78,0.75,0.36
                  Paundivirus,2942981,,,,0.06,0.06,,,,,0.35,0.15,
                  Afonbuvirus,2942989,0.6,0.45,0.45,0.63,0.61,1.79,0.46,1.04,0.82,1.17,0.63,0.83
                  Canhaevirus,2942990,0.37,0.16,0.41,0.2,0.29,0.79,0.21,0.37,0.47,0.35,0.32,0.4
                  Cohcovirus,2942991,0.44,0.29,0.4,0.33,0.4,0.93,0.24,,0.64,0.74,0.38,0.38
                  Culoivirus,2942992,,0.1,,0.13,0.13,0.34,,,,0.2,0.18,
                  Blohavirus,2942993,0.53,0.28,,0.46,0.46,0.74,0.32,0.47,0.53,0.84,0.46,0.6
                  Buchavirus,2942994,1.05,0.26,,0.32,0.34,0.69,0.22,0.52,0.46,0.69,0.46,0.52
                Salvovirus,2943016,0.29,0.29,0.48,0.21,0.42,1.07,0.22,0.77,0.7,0.52,0.54,1.09
                Sharonstreetvirus,2943019,,,,0.04,,,,,,,,
                  Aurodevirus,2946811,0.37,0.44,0.51,0.68,0.71,1.54,0.6,0.75,0.87,1.27,0.79,1.11
                  Besingivirus,2946821,,,,,0.03,,,,0.21,,0.07,
                  Birpovirus,2946830,0.27,0.19,,0.27,0.29,0.89,0.23,0.44,0.51,0.53,0.36,0.44
                  Bohxovirus,2946832,,,,,,,,,0.15,0.2,,
                  Buhlduvirus,2948643,,,,,,,,,,0.11,0.05,
